username_names,project_urls,stars
mrdoob,https://github.com/mrdoob/three.js,91887
pmndrs,https://github.com/pmndrs/react-three-fiber,22582
libgdx,https://github.com/libgdx/libgdx,21505
BabylonJS,https://github.com/BabylonJS/Babylon.js,20663
ssloy,https://github.com/ssloy/tinyrenderer,16943
aframevr,https://github.com/aframevr/aframe,15345
lettier,https://github.com/lettier/3d-game-shaders-for-beginners,15328
FreeCAD,https://github.com/FreeCAD/FreeCAD,14066
CesiumGS,https://github.com/CesiumGS/cesium,10405
metafizzy,https://github.com/metafizzy/zdog,9732
timzhang642,https://github.com/timzhang642/3D-Machine-Learning,8888
isl-org,https://github.com/isl-org/Open3D,8791
blender,https://github.com/blender/blender,8513
a1studmuffin,https://github.com/a1studmuffin/SpaceshipGenerator,7404
domlysz,https://github.com/domlysz/BlenderGIS,6334
FyroxEngine,https://github.com/FyroxEngine/Fyrox,6140
google,https://github.com/google/model-viewer,5608
openscad,https://github.com/openscad/openscad,5604
spritejs,https://github.com/spritejs/spritejs,5180
nerfstudio-project,https://github.com/nerfstudio-project/nerfstudio,5073
