username_names,project_urls,stars
public-apis,https://github.com/public-apis/public-apis,240385
neovim,https://github.com/neovim/neovim,65988
tiangolo,https://github.com/tiangolo/fastapi,58061
strapi,https://github.com/strapi/strapi,53799
hoppscotch,https://github.com/hoppscotch/hoppscotch,51477
ocornut,https://github.com/ocornut/imgui,47575
meilisearch,https://github.com/meilisearch/meilisearch,36538
slatedocs,https://github.com/slatedocs/slate,35178
hasura,https://github.com/hasura/graphql-engine,29758
ccxt,https://github.com/ccxt/ccxt,28252
Kong,https://github.com/Kong/insomnia,28146
Binaryify,https://github.com/Binaryify/NeteaseCloudMusicApi,27969
httpie,https://github.com/httpie/httpie,27784
YMFE,https://github.com/YMFE/yapi,26061
trpc,https://github.com/trpc/trpc,25662
encode,https://github.com/encode/django-rest-framework,25571
littlecodersh,https://github.com/littlecodersh/ItChat,23854
directus,https://github.com/directus/directus,21601
microsoft,https://github.com/microsoft/api-guidelines,21390
paularmstrong,https://github.com/paularmstrong/normalizr,20983
