username_names,project_urls,stars
bitwarden,https://github.com/bitwarden/server,12539
dotnet,https://github.com/dotnet/AspNetCore.Docs,11633
aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11072
abpframework,https://github.com/abpframework/abp,9939
nopSolutions,https://github.com/nopSolutions/nopCommerce,8101
ElectronNET,https://github.com/ElectronNET/Electron.NET,6730
thangchung,https://github.com/thangchung/clean-code-dotnet,6064
RicoSuter,https://github.com/RicoSuter/NSwag,5860
FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,2851
dotnet,https://github.com/dotnet/aspnet-api-versioning,2716
smartstore,https://github.com/smartstore/SmartStoreNET,2567
JimBobSquarePants,https://github.com/JimBobSquarePants/ImageProcessor,2497
serenity-is,https://github.com/serenity-is/Serenity,2327
loic-sharma,https://github.com/loic-sharma/BaGet,2318
mjebrahimi,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2300
TrilonIO,https://github.com/TrilonIO/aspnetcore-angular-universal,1459
TrilonIO,https://github.com/TrilonIO/aspnetcore-Vue-starter,1208
MarimerLLC,https://github.com/MarimerLLC/csla,1118
antonioCoco,https://github.com/antonioCoco/SharPyShell,779
riganti,https://github.com/riganti/dotvvm,676
