username_names,project_urls,stars
ljianshu,https://github.com/ljianshu/Blog,7594
metafizzy,https://github.com/metafizzy/infinite-scroll,7265
developit,https://github.com/developit/unfetch,5571
olifolkerd,https://github.com/olifolkerd/tabulator,5404
jquery-form,https://github.com/jquery-form/form,5197
Studio-42,https://github.com/Studio-42/elFinder,4422
elbywan,https://github.com/elbywan/wretch,3920
dwyl,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2976
ded,https://github.com/ded/reqwest,2931
LeaVerou,https://github.com/LeaVerou/bliss,2382
wendux,https://github.com/wendux/ajax-hook,2328
noelboss,https://github.com/noelboss/featherlight,2068
craftpip,https://github.com/craftpip/jquery-confirm,1834
ptaoussanis,https://github.com/ptaoussanis/sente,1692
nette,https://github.com/nette/tracy,1639
joaomilho,https://github.com/joaomilho/Enterprise,1572
loadingio,https://github.com/loadingio/css-spinner,1569
k8w,https://github.com/k8w/tsrpc,1494
codingforentrepreneurs,https://github.com/codingforentrepreneurs/eCommerce,1402
u014427391,https://github.com/u014427391/jeeplatform,1390
