username_names,project_urls,stars
localstack,https://github.com/localstack/localstack,47162
serverless,https://github.com/serverless/serverless,44741
bregman-arie,https://github.com/bregman-arie/devops-exercises,43277
donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,25074
pulumi,https://github.com/pulumi/pulumi,16022
serverless-stack,https://github.com/serverless-stack/sst,14598
kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray,13917
ramitsurana,https://github.com/ramitsurana/awesome-kubernetes,13894
aws,https://github.com/aws/aws-cli,13767
mozilla,https://github.com/mozilla/sops,12914
donnemartin,https://github.com/donnemartin/awesome-aws,11482
caprover,https://github.com/caprover/caprover,10413
aws,https://github.com/aws/aws-cdk,10209
GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer,10189
apereo,https://github.com/apereo/cas,10120
aws,https://github.com/aws/chalice,9733
aws-amplify,https://github.com/aws-amplify/amplify-js,9193
infracost,https://github.com/infracost/infracost,9073
google,https://github.com/google/go-cloud,9023
aws,https://github.com/aws/serverless-application-model,9018
