username_names,project_urls,stars
amphp,https://github.com/amphp/amp,3925
danog,https://github.com/danog/MadelineProto,2348
amphp,https://github.com/amphp/http-server,1236
unreal4u,https://github.com/unreal4u/telegram-api,757
amphp,https://github.com/amphp/parallel,664
amphp,https://github.com/amphp/http-client,655
php-service-bus,https://github.com/php-service-bus/service-bus,339
amphp,https://github.com/amphp/byte-stream,327
amphp,https://github.com/amphp/mysql,308
amphp,https://github.com/amphp/parallel-functions,241
amphp,https://github.com/amphp/process,210
amphp,https://github.com/amphp/socket,191
xtrime-ru,https://github.com/xtrime-ru/TelegramRSS,170
amphp,https://github.com/amphp/redis,137
amphp,https://github.com/amphp/sync,134
amphp,https://github.com/amphp/dns,131
amphp,https://github.com/amphp/websocket-client,121
kelunik,https://github.com/kelunik/acme,117
amphp,https://github.com/amphp/serialization,95
amphp,https://github.com/amphp/websocket-server,92
