username_names,project_urls,stars
flutter,https://github.com/flutter/flutter,153484
facebook,https://github.com/facebook/react-native,109629
justjavac,https://github.com/justjavac/free-programming-books-zh_CN,102475
Genymobile,https://github.com/Genymobile/scrcpy,83715
Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,65076
google,https://github.com/google/material-design-icons,48066
Solido,https://github.com/Solido/awesome-flutter,46819
wasabeef,https://github.com/wasabeef/awesome-android-ui,46373
square,https://github.com/square/okhttp,43988
android,https://github.com/android/architecture-samples,42667
square,https://github.com/square/retrofit,41542
dcloudio,https://github.com/dcloudio/uni-app,38118
fastlane,https://github.com/fastlane/fastlane,37059
PhilJay,https://github.com/PhilJay/MPAndroidChart,36474
laurent22,https://github.com/laurent22/joplin,35938
skylot,https://github.com/skylot/jadx,34568
airbnb,https://github.com/airbnb/lottie-android,33905
shadowsocks,https://github.com/shadowsocks/shadowsocks-android,33686
bumptech,https://github.com/bumptech/glide,33606
xitu,https://github.com/xitu/gold-miner,32357
