username_names,project_urls,stars
justjavac,https://github.com/justjavac/free-programming-books-zh_CN,102475
angular,https://github.com/angular/angular,88212
storybookjs,https://github.com/storybookjs/storybook,78662
leonardomso,https://github.com/leonardomso/33-js-concepts,56101
ionic-team,https://github.com/ionic-team/ionic-framework,49016
prettier,https://github.com/prettier/prettier,45603
Asabeneh,https://github.com/Asabeneh/30-Days-Of-JavaScript,35834
SheetJS,https://github.com/SheetJS/sheetjs,32868
angular,https://github.com/angular/angular-cli,26094
angular,https://github.com/angular/components,23502
NativeScript,https://github.com/NativeScript/NativeScript,22517
goldbergyoni,https://github.com/goldbergyoni/javascript-testing-best-practices,21461
jhipster,https://github.com/jhipster/generator-jhipster,20580
pubkey,https://github.com/pubkey/rxdb,19216
nrwl,https://github.com/nrwl/nx,17575
teambit,https://github.com/teambit/bit,16654
wailsapp,https://github.com/wailsapp/wails,16039
sudheerj,https://github.com/sudheerj/javascript-interview-questions,15938
sweetalert2,https://github.com/sweetalert2/sweetalert2,15840
codesandbox,https://github.com/codesandbox/codesandbox-client,12371
