username_names,project_urls,stars
ansible,https://github.com/ansible/ansible,57404
bregman-arie,https://github.com/bregman-arie/devops-exercises,43277
trailofbits,https://github.com/trailofbits/algo,27260
StreisandEffect,https://github.com/StreisandEffect/streisand,22972
MichaelCade,https://github.com/MichaelCade/90DaysOfDevOps,22655
kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray,13917
ansible,https://github.com/ansible/awx,12236
easzlab,https://github.com/easzlab/kubeasz,9089
geerlingguy,https://github.com/geerlingguy/ansible-for-devops,6914
khuedoan,https://github.com/khuedoan/homelab,6873
Tikam02,https://github.com/Tikam02/DevOps-Guide,6784
ansible-semaphore,https://github.com/ansible-semaphore/semaphore,6133
geerlingguy,https://github.com/geerlingguy/mac-dev-playbook,5288
rundeck,https://github.com/rundeck/rundeck,4950
KubeOperator,https://github.com/KubeOperator/KubeOperator,4673
clong,https://github.com/clong/DetectionLab,4185
netbootxyz,https://github.com/netbootxyz/netboot.xyz,4074
litmuschaos,https://github.com/litmuschaos/litmus,3673
ansible-community,https://github.com/ansible-community/molecule,3574
opendevops-cn,https://github.com/opendevops-cn/opendevops,3422
