username_names,project_urls,stars
arendst,https://github.com/arendst/Tasmota,19695
MarlinFirmware,https://github.com/MarlinFirmware/Marlin,14851
arduino,https://github.com/arduino/Arduino,13552
rwaldron,https://github.com/rwaldron/johnny-five,13014
tinygo-org,https://github.com/tinygo-org/tinygo,12795
SpacehuhnTech,https://github.com/SpacehuhnTech/esp8266_deauther,11672
espressif,https://github.com/espressif/arduino-esp32,10734
gurugio,https://github.com/gurugio/lowlevelprogramming-university,8455
hybridgroup,https://github.com/hybridgroup/gobot,8226
platformio,https://github.com/platformio/platformio-core,6777
bblanchon,https://github.com/bblanchon/ArduinoJson,6139
tzapu,https://github.com/tzapu/WiFiManager,5814
hybridgroup,https://github.com/hybridgroup/cylon,3967
Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3947
olikraus,https://github.com/olikraus/u8g2,3918
arduino,https://github.com/arduino/arduino-cli,3887
blynkkk,https://github.com/blynkkk/blynk-library,3642
ClemensElflein,https://github.com/ClemensElflein/OpenMower,3553
NerdLang,https://github.com/NerdLang/nerd,3444
Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3371
