username_names,project_urls,stars
atom,https://github.com/atom/atom,59397
themerdev,https://github.com/themerdev/themer,5136
miniflux,https://github.com/miniflux/v2,5083
shd101wyy,https://github.com/shd101wyy/markdown-preview-enhanced,3904
nteract,https://github.com/nteract/hydrogen,3857
atom,https://github.com/atom/teletype,2401
mmcdole,https://github.com/mmcdole/gofeed,2169
NaiboWang,https://github.com/NaiboWang/CommandlineConfig,2014
mehcode,https://github.com/mehcode/awesome-atom,1889
feeddd,https://github.com/feeddd/feeds,1747
kurtmckee,https://github.com/kurtmckee/feedparser,1616
joefitzgerald,https://github.com/joefitzgerald/go-plus,1511
Glavin001,https://github.com/Glavin001/atom-beautify,1503
simplepie,https://github.com/simplepie/simplepie,1483
ocaml,https://github.com/ocaml/merlin,1470
t9md,https://github.com/t9md/atom-vim-mode-plus,1409
MagicStack,https://github.com/MagicStack/MagicPython,1375
atom,https://github.com/atom/apm,1264
file-icons,https://github.com/file-icons/atom,1262
fwcd,https://github.com/fwcd/kotlin-language-server,1208
