username_names,project_urls,stars
sindresorhus,https://github.com/sindresorhus/awesome,254560
vinta,https://github.com/vinta/awesome-python,168330
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,132044
avelino,https://github.com/avelino/awesome-go,101695
trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,97911
papers-we-love,https://github.com/papers-we-love/papers-we-love,72564
521xueweihan,https://github.com/521xueweihan/HelloGitHub,68983
Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,65076
jaywcjlove,https://github.com/jaywcjlove/awesome-mac,60644
enaqx,https://github.com/enaqx/awesome-react,55551
DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,55307
MunGell,https://github.com/MunGell/awesome-for-beginners,51361
sindresorhus,https://github.com/sindresorhus/awesome-nodejs,51150
prakhar1989,https://github.com/prakhar1989/awesome-courses,47219
Solido,https://github.com/Solido/awesome-flutter,46819
fffaraz,https://github.com/fffaraz/awesome-cpp,46392
wasabeef,https://github.com/wasabeef/awesome-android-ui,46373
binhnguyennus,https://github.com/binhnguyennus/awesome-scalability,45154
vsouza,https://github.com/vsouza/awesome-ios,42871
tiimgreen,https://github.com/tiimgreen/github-cheat-sheet,40981
