username_names,project_urls,stars
babel,https://github.com/babel/babel,42230
swc-project,https://github.com/swc-project/swc,27353
nylas,https://github.com/nylas/nylas-mail,24739
electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21301
avajs,https://github.com/avajs/ava,20349
SimulatedGREG,https://github.com/SimulatedGREG/electron-vue,15290
grab,https://github.com/grab/front-end-guide,14880
jamiebuilds,https://github.com/jamiebuilds/babel-handbook,11674
grommet,https://github.com/grommet/grommet,8206
developit,https://github.com/developit/htm,8198
ben-rogerson,https://github.com/ben-rogerson/twin.macro,7244
angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6129
documentationjs,https://github.com/documentationjs/documentation,5680
insin,https://github.com/insin/nwb,5559
fkling,https://github.com/fkling/astexplorer,5455
thinkjs,https://github.com/thinkjs/thinkjs,5296
egoist,https://github.com/egoist/poi,5257
transitive-bullshit,https://github.com/transitive-bullshit/create-react-library,4807
duxianwei520,https://github.com/duxianwei520/react,4776
babel,https://github.com/babel/babel-loader,4734
