username_names,project_urls,stars
jlevy,https://github.com/jlevy/the-art-of-command-line,136222
nvm-sh,https://github.com/nvm-sh/nvm,67111
junegunn,https://github.com/junegunn/fzf,52272
google,https://github.com/google/zx,37389
starship,https://github.com/starship/starship,34256
dylanaraps,https://github.com/dylanaraps/pure-bash-bible,33560
LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets,33526
koalaman,https://github.com/koalaman/shellcheck,32146
acmesh-official,https://github.com/acmesh-official/acme.sh,31596
mathiasbynens,https://github.com/mathiasbynens/dotfiles,29013
alebcay,https://github.com/alebcay/awesome-shell,27402
jaywcjlove,https://github.com/jaywcjlove/linux-command,23997
withfig,https://github.com/withfig/autocomplete,21961
dylanaraps,https://github.com/dylanaraps/neofetch,18047
asdf-vm,https://github.com/asdf-vm/asdf,17525
Nyr,https://github.com/Nyr/openvpn-install,17095
rbenv,https://github.com/rbenv/rbenv,15050
kingToolbox,https://github.com/kingToolbox/WindTerm,14459
faressoft,https://github.com/faressoft/terminalizer,14076
shelljs,https://github.com/shelljs/shelljs,13821
