username_names,project_urls,stars
bitcoin,https://github.com/bitcoin/bitcoin,69583
ccxt,https://github.com/ccxt/ccxt,28252
freqtrade,https://github.com/freqtrade/freqtrade,21663
HelloZeroNet,https://github.com/HelloZeroNet/ZeroNet,17867
solana-labs,https://github.com/solana-labs/solana,10289
bbfamily,https://github.com/bbfamily/abu,9955
askmike,https://github.com/askmike/gekko,9944
dvf,https://github.com/dvf/blockchain,7389
lbryio,https://github.com/lbryio/lbry-sdk,7178
lightningnetwork,https://github.com/lightningnetwork/lnd,6915
yeasy,https://github.com/yeasy/blockchain_guide,6484
spesmilo,https://github.com/spesmilo/electrum,6363
butor,https://github.com/butor/blackbird,5713
btcsuite,https://github.com/btcsuite/btcd,5284
bitcoinjs,https://github.com/bitcoinjs/bitcoinjs-lib,4964
btcpayserver,https://github.com/btcpayserver/btcpayserver,4868
jesse-ai,https://github.com/jesse-ai/jesse,4655
bitcoinj,https://github.com/bitcoinj/bitcoinj,4576
getumbrel,https://github.com/getumbrel/umbrel,4383
CryptoSignal,https://github.com/CryptoSignal/Crypto-Signal,4381
