username_names,project_urls,stars
ccxt,https://github.com/ccxt/ccxt,28252
discordjs,https://github.com/discordjs/discord.js,23143
python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21955
hubotio,https://github.com/hubotio/hubot,16443
RasaHQ,https://github.com/RasaHQ/rasa,16342
wechaty,https://github.com/wechaty/wechaty,16266
InstaPy,https://github.com/InstaPy/InstaPy,15329
gunthercox,https://github.com/gunthercox/ChatterBot,13258
Rapptz,https://github.com/Rapptz/discord.py,12818
tgbot-collection,https://github.com/tgbot-collection/YYeTsBot,12770
leon-ai,https://github.com/leon-ai/leon,12661
howdyai,https://github.com/howdyai/botkit,11106
botpress,https://github.com/botpress/botpress,10334
pedroslopez,https://github.com/pedroslopez/whatsapp-web.js,10071
sfyc23,https://github.com/sfyc23/EverydayWechat,9474
Mrs4s,https://github.com/Mrs4s/go-cqhttp,8314
microsoft,https://github.com/microsoft/ailab,7387
yagop,https://github.com/yagop/node-telegram-bot-api,7118
microsoft,https://github.com/microsoft/botframework-sdk,7102
EZFNDEV,https://github.com/EZFNDEV/EZFN-Lobbybot,6890
