username_names,project_urls,stars
Genymobile,https://github.com/Genymobile/scrcpy,83715
neovim,https://github.com/neovim/neovim,65988
obsproject,https://github.com/obsproject/obs-studio,47694
fffaraz,https://github.com/fffaraz/awesome-cpp,46392
git,https://github.com/git/git,46283
FFmpeg,https://github.com/FFmpeg/FFmpeg,36191
serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps,35398
vim,https://github.com/vim/vim,30253
curl,https://github.com/curl/curl,30148
huihut,https://github.com/huihut/interview,28983
ggreer,https://github.com/ggreer/the_silver_searcher,24890
pbatard,https://github.com/pbatard/rufus,23118
mpv-player,https://github.com/mpv-player/mpv,22374
ossrs,https://github.com/ossrs/srs,21631
google,https://github.com/google/flatbuffers,20470
ruby,https://github.com/ruby/ruby,20347
kovidgoyal,https://github.com/kovidgoyal/kitty,18704
microsoft,https://github.com/microsoft/vcpkg,18666
oracle,https://github.com/oracle/graal,18580
radareorg,https://github.com/radareorg/radare2,18060
