username_names,project_urls,stars
CSSEGISandData,https://github.com/CSSEGISandData/COVID-19,29277
nytimes,https://github.com/nytimes/covid-19-data,6962
covid19india,https://github.com/covid19india/covid19india-react,6887
tokyo-metropolitan-gov,https://github.com/tokyo-metropolitan-gov/covid19,6321
owid,https://github.com/owid/covid-19-data,5598
pcm-dpc,https://github.com/pcm-dpc/COVID-19,3912
ieee8023,https://github.com/ieee8023/covid-chestxray-dataset,2925
disease-sh,https://github.com/disease-sh/API,2423
geohot,https://github.com/geohot/corona,2374
WorldHealthOrganization,https://github.com/WorldHealthOrganization/app,2122
corona-warn-app,https://github.com/corona-warn-app/cwa-server,1886
ahmadawais,https://github.com/ahmadawais/corona-cli,1856
github,https://github.com/github/covid19-dashboard,1646
ExpDev07,https://github.com/ExpDev07/coronavirus-tracker-api,1603
soroushchehresa,https://github.com/soroushchehresa/awesome-coronavirus,1538
mhdhejazi,https://github.com/mhdhejazi/CoronaTracker,1530
chandrikadeb7,https://github.com/chandrikadeb7/Face-Mask-Detection,1436
neherlab,https://github.com/neherlab/covid19_scenarios,1375
chrismattmann,https://github.com/chrismattmann/tika-python,1279
cirosantilli,https://github.com/cirosantilli/china-dictatorship,1238
