username_names,project_urls,stars
iamadamdev,https://github.com/iamadamdev/bypass-paywalls-chrome,37142
jaywcjlove,https://github.com/jaywcjlove/linux-command,23997
refined-github,https://github.com/refined-github/refined-github,21125
darkreader,https://github.com/darkreader/darkreader,16685
openai-translator,https://github.com/openai-translator/openai-translator,16005
checkly,https://github.com/checkly/headless-recorder,14775
unbug,https://github.com/unbug/codelf,13591
wong2,https://github.com/wong2/chatgpt-google-extension,13071
dailydotdev,https://github.com/dailydotdev/daily,12836
Anarios,https://github.com/Anarios/return-youtube-dislike,11151
gildas-lormeau,https://github.com/gildas-lormeau/SingleFile,11138
crimx,https://github.com/crimx/ext-saladict,10753
listen1,https://github.com/listen1/listen1_chrome_extension,10097
alyssaxuu,https://github.com/alyssaxuu/screenity,8230
appbaseio,https://github.com/appbaseio/dejavu,8130
josStorer,https://github.com/josStorer/chatGPTBox,7673
Kenshin,https://github.com/Kenshin/simpread,7156
ajayyy,https://github.com/ajayyy/SponsorBlock,6904
AutomaApp,https://github.com/AutomaApp/automa,6881
alyssaxuu,https://github.com/alyssaxuu/omni,6268
