username_names,project_urls,stars
electron,https://github.com/electron/electron,107450
puppeteer,https://github.com/puppeteer/puppeteer,83262
microsoft,https://github.com/microsoft/playwright,51139
FiloSottile,https://github.com/FiloSottile/mkcert,40957
iamadamdev,https://github.com/iamadamdev/bypass-paywalls-chrome,37142
jaywcjlove,https://github.com/jaywcjlove/linux-command,23997
ovity,https://github.com/ovity/octotree,22449
segmentio,https://github.com/segmentio/nightmare,19391
checkly,https://github.com/checkly/headless-recorder,14775
google,https://github.com/google/WebFundamentals,13792
schickling,https://github.com/schickling/chromeless,13243
GoogleChrome,https://github.com/GoogleChrome/chrome-extensions-samples,12270
casesandberg,https://github.com/casesandberg/react-color,11374
gildas-lormeau,https://github.com/gildas-lormeau/SingleFile,11138
crimx,https://github.com/crimx/ext-saladict,10753
MetaMask,https://github.com/MetaMask/metamask-extension,9930
chromedp,https://github.com/chromedp/chromedp,9059
uBlock-LLC,https://github.com/uBlock-LLC/uBlock,8127
moonD4rk,https://github.com/moonD4rk/HackBrowserData,7568
Kenshin,https://github.com/Kenshin/simpread,7156
