username_names,project_urls,stars
metabase,https://github.com/metabase/metabase,32453
logseq,https://github.com/logseq/logseq,22477
penpot,https://github.com/penpot/penpot,21720
deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12946
LightTable,https://github.com/LightTable/LightTable,11724
kanaka,https://github.com/kanaka/mal,9312
lk-geimfari,https://github.com/lk-geimfari/awesomo,8920
tonsky,https://github.com/tonsky/datascript,5132
reagent-project,https://github.com/reagent-project/reagent,4642
riemann,https://github.com/riemann/riemann,4172
weavejester,https://github.com/weavejester/compojure,4016
izhangzhihao,https://github.com/izhangzhihao/intellij-rainbow-brackets,4013
bbatsov,https://github.com/bbatsov/clojure-style-guide,3942
status-im,https://github.com/status-im/status-mobile,3665
ring-clojure,https://github.com/ring-clojure/ring,3591
clojure-emacs,https://github.com/clojure-emacs/cider,3427
babashka,https://github.com/babashka/babashka,3366
viebel,https://github.com/viebel/klipse,3048
tallesl,https://github.com/tallesl/Rich-Hickey-fanclub,2949
bhauman,https://github.com/bhauman/lein-figwheel,2891
