username_names,project_urls,stars
realm,https://github.com/realm/SwiftLint,17363
facebook,https://github.com/facebook/infer,14031
analysis-tools-dev,https://github.com/analysis-tools-dev/static-analysis,11296
Kristories,https://github.com/Kristories/awesome-guidelines,8831
SonarSource,https://github.com/SonarSource/sonarqube,7761
checkstyle,https://github.com/checkstyle/checkstyle,7729
reviewdog,https://github.com/reviewdog/reviewdog,6372
facebook,https://github.com/facebook/pyre-check,6348
detekt,https://github.com/detekt/detekt,5410
import-js,https://github.com/import-js/eslint-plugin-import,4796
pylint-dev,https://github.com/pylint-dev/pylint,4667
simplecov-ruby,https://github.com/simplecov-ruby/simplecov,4590
trekhleb,https://github.com/trekhleb/state-of-the-art-shitcode,4407
pmd,https://github.com/pmd/pmd,4295
phpro,https://github.com/phpro/grumphp,3946
kucherenko,https://github.com/kucherenko/jscpd,3056
htmlhint,https://github.com/htmlhint/HTMLHint,2942
codeclimate,https://github.com/codeclimate/codeclimate,2404
wemake-services,https://github.com/wemake-services/wemake-python-styleguide,2215
uber,https://github.com/uber/piranha,2048
