username_names,project_urls,stars
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,159004
junegunn,https://github.com/junegunn/fzf,52272
sharkdp,https://github.com/sharkdp/bat,41249
sherlock-project,https://github.com/sherlock-project/sherlock,41205
BurntSushi,https://github.com/BurntSushi/ripgrep,37914
google,https://github.com/google/zx,37389
wagoodman,https://github.com/wagoodman/dive,36810
chubin,https://github.com/chubin/cheat.sh,35322
jesseduffield,https://github.com/jesseduffield/lazygit,35042
cli,https://github.com/cli/cli,32327
spf13,https://github.com/spf13/cobra,31886
n8n-io,https://github.com/n8n-io/n8n,30416
httpie,https://github.com/httpie/httpie,27784
sharkdp,https://github.com/sharkdp/fd,27483
alebcay,https://github.com/alebcay/awesome-shell,27402
ibraheemdev,https://github.com/ibraheemdev/modern-unix,26672
angular,https://github.com/angular/angular-cli,26094
acheong08,https://github.com/acheong08/ChatGPT,25531
tqdm,https://github.com/tqdm/tqdm,24821
google,https://github.com/google/python-fire,24546
