username_names,project_urls,stars
vercel,https://github.com/vercel/next.js,106357
rust-lang,https://github.com/rust-lang/rust,81647
sveltejs,https://github.com/sveltejs/svelte,67851
webpack,https://github.com/webpack/webpack,63061
gatsbyjs,https://github.com/gatsbyjs/gatsby,54459
JetBrains,https://github.com/JetBrains/kotlin,44725
parcel-bundler,https://github.com/parcel-bundler/parcel,42363
babel,https://github.com/babel/babel,42230
evanw,https://github.com/evanw/esbuild,35316
vlang,https://github.com/vlang/v,33696
carbon-language,https://github.com/carbon-language/carbon-lang,30452
markedjs,https://github.com/markedjs/marked,29736
swc-project,https://github.com/swc-project/swc,27353
vercel,https://github.com/vercel/pkg,23288
ziglang,https://github.com/ziglang/zig,22177
v8,https://github.com/v8/v8,21212
typst,https://github.com/typst/typst,17614
AssemblyScript,https://github.com/AssemblyScript/assemblyscript,15534
nim-lang,https://github.com/nim-lang/Nim,15020
RustPython,https://github.com/RustPython/RustPython,14998
