username_names,project_urls,stars
localstack,https://github.com/localstack/localstack,47162
harness,https://github.com/harness/drone,26865
jenkinsci,https://github.com/jenkinsci/jenkins,20812
auchenberg,https://github.com/auchenberg/volkswagen,12667
theonedev,https://github.com/theonedev/onedev,11158
openshift,https://github.com/openshift/origin,8337
dagger,https://github.com/dagger/dagger,8281
concourse,https://github.com/concourse/concourse,6872
gocd,https://github.com/gocd/gocd,6790
milanm,https://github.com/milanm/DevOps-Roadmap,5081
gaia-pipeline,https://github.com/gaia-pipeline/gaia,5066
buildbot,https://github.com/buildbot/buildbot,5039
Strider-CD,https://github.com/Strider-CD/strider,4588
jenkins-x,https://github.com/jenkins-x/jx,4372
ovh,https://github.com/ovh/cds,4191
xcpretty,https://github.com/xcpretty/xcpretty,3844
hygieia,https://github.com/hygieia/hygieia,3752
iterative,https://github.com/iterative/cml,3715
JamesIves,https://github.com/JamesIves/github-pages-deploy-action,3671
werf,https://github.com/werf/werf,3619
