username_names,project_urls,stars
CyC2018,https://github.com/CyC2018/CS-Notes,164258
practical-tutorials,https://github.com/practical-tutorials/project-based-learning,102646
azl397985856,https://github.com/azl397985856/leetcode,51204
fffaraz,https://github.com/fffaraz/awesome-cpp,46392
x64dbg,https://github.com/x64dbg/x64dbg,40712
youngyangyang04,https://github.com/youngyangyang04/leetcode-master,38754
Light-City,https://github.com/Light-City/CPlusPlusThings,30484
carbon-language,https://github.com/carbon-language/carbon-lang,30452
huihut,https://github.com/huihut/interview,28983
yuzu-emu,https://github.com/yuzu-emu/yuzu,27549
microsoft,https://github.com/microsoft/calculator,27125
CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose,27077
TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,24405
doocs,https://github.com/doocs/leetcode,22088
changkun,https://github.com/changkun/modern-cpp-tutorial,20853
ethereum,https://github.com/ethereum/solidity,20189
dragonflydb,https://github.com/dragonflydb/dragonfly,19408
microsoft,https://github.com/microsoft/vcpkg,18666
gabime,https://github.com/gabime/spdlog,18268
ssloy,https://github.com/ssloy/tinyrenderer,16943
