username_names,project_urls,stars
donnemartin,https://github.com/donnemartin/system-design-primer,221k
tensorflow,https://github.com/tensorflow/tensorflow,175k
vinta,https://github.com/vinta/awesome-python,169k
CyC2018,https://github.com/CyC2018/CS-Notes,164k
TheAlgorithms,https://github.com/TheAlgorithms/Python,159k
Significant-Gravitas,https://github.com/Significant-Gravitas/Auto-GPT,134k
30-seconds,https://github.com/30-seconds/30-seconds-of-code,112k
practical-tutorials,https://github.com/practical-tutorials/project-based-learning,103k
justjavac,https://github.com/justjavac/free-programming-books-zh_CN,103k
huggingface,https://github.com/huggingface/transformers,101k
nvbn,https://github.com/nvbn/thefuck,77.5k
django,https://github.com/django/django,70.9k
521xueweihan,https://github.com/521xueweihan/HelloGitHub,69.1k
pytorch,https://github.com/pytorch/pytorch,67k
pallets,https://github.com/pallets/flask,63k
home-assistant,https://github.com/home-assistant/core,60.6k
keras-team,https://github.com/keras-team/keras,58.4k
tiangolo,https://github.com/tiangolo/fastapi,58.2k
ansible,https://github.com/ansible/ansible,57.4k
scikit-learn,https://github.com/scikit-learn/scikit-learn,54.3k
